SchoolName,Year,Category,Phase,Count
Raffles Girls’ Primary School - Girls only,2009,Taken,Phase 1,84
Raffles Girls’ Primary School - Girls only,2010,Taken,Phase 1,90
Raffles Girls’ Primary School - Girls only,2011,Taken,Phase 1,85
Raffles Girls’ Primary School - Girls only,2012,Taken,Phase 1,90
Raffles Girls’ Primary School - Girls only,2013,Taken,Phase 1,98
Raffles Girls’ Primary School - Girls only,2014,Taken,Phase 1,69
Raffles Girls’ Primary School - Girls only,2015,Taken,Phase 1,97
Raffles Girls’ Primary School - Girls only,2016,Taken,Phase 1,74
Raffles Girls’ Primary School - Girls only,2017,Taken,Phase 1,73
Raffles Girls’ Primary School - Girls only,2018,Taken,Phase 1,64
Raffles Girls’ Primary School - Girls only,2019,Vacancy,Phase 1,230
Raffles Girls’ Primary School - Girls only,2019,Applied,Phase 1,63
Raffles Girls’ Primary School - Girls only,2019,Taken,Phase 1,63
Raffles Girls’ Primary School - Girls only,2020,Vacancy,Phase 1,230
Raffles Girls’ Primary School - Girls only,2020,Applied,Phase 1,89
Raffles Girls’ Primary School - Girls only,2020,Taken,Phase 1,89
Raffles Girls’ Primary School - Girls only,2021,Vacancy,Phase 1,230
Raffles Girls’ Primary School - Girls only,2021,Applied,Phase 1,64
Raffles Girls’ Primary School - Girls only,2021,Taken,Phase 1,64
Raffles Girls’ Primary School - Girls only,2009,Taken,2A(1),29
Raffles Girls’ Primary School - Girls only,2010,Taken,2A(1),30
Raffles Girls’ Primary School - Girls only,2011,Taken,2A(1),36
Raffles Girls’ Primary School - Girls only,2012,Taken,2A(1),42
Raffles Girls’ Primary School - Girls only,2013,Taken,2A(1),34
Raffles Girls’ Primary School - Girls only,2014,Taken,2A(1),40
Raffles Girls’ Primary School - Girls only,2015,Taken,2A(1),31
Raffles Girls’ Primary School - Girls only,2016,Taken,2A(1),50
Raffles Girls’ Primary School - Girls only,2017,Taken,2A(1),35
Raffles Girls’ Primary School - Girls only,2018,Taken,2A(1),40
Raffles Girls’ Primary School - Girls only,2019,Vacancy,2A(1),167
Raffles Girls’ Primary School - Girls only,2019,Applied,2A(1),39
Raffles Girls’ Primary School - Girls only,2019,Taken,2A(1),39
Raffles Girls’ Primary School - Girls only,2020,Vacancy,2A(1),141
Raffles Girls’ Primary School - Girls only,2020,Applied,2A(1),48
Raffles Girls’ Primary School - Girls only,2020,Taken,2A(1),48
Raffles Girls’ Primary School - Girls only,2021,Vacancy,2A(1),166
Raffles Girls’ Primary School - Girls only,2021,Applied,2A(1),45
Raffles Girls’ Primary School - Girls only,2021,Taken,2A(1),45
Raffles Girls’ Primary School - Girls only,2009,Taken,2A(2),54
Raffles Girls’ Primary School - Girls only,2010,Taken,2A(2),57
Raffles Girls’ Primary School - Girls only,2011,Taken,2A(2),66
Raffles Girls’ Primary School - Girls only,2012,Taken,2A(2),54
Raffles Girls’ Primary School - Girls only,2013,Taken,2A(2),54
Raffles Girls’ Primary School - Girls only,2014,Taken,2A(2),38
Raffles Girls’ Primary School - Girls only,2015,Taken,2A(2),38
Raffles Girls’ Primary School - Girls only,2016,Taken,2A(2),22
Raffles Girls’ Primary School - Girls only,2017,Taken,2A(2),28
Raffles Girls’ Primary School - Girls only,2018,Taken,2A(2),26
Raffles Girls’ Primary School - Girls only,2019,Vacancy,2A(2),130
Raffles Girls’ Primary School - Girls only,2019,Applied,2A(2),23
Raffles Girls’ Primary School - Girls only,2019,Taken,2A(2),23
Raffles Girls’ Primary School - Girls only,2020,Vacancy,2A(2),93
Raffles Girls’ Primary School - Girls only,2020,Applied,2A(2),29
Raffles Girls’ Primary School - Girls only,2020,Taken,2A(2),29
Raffles Girls’ Primary School - Girls only,2021,Vacancy,2A(2),121
Raffles Girls’ Primary School - Girls only,2021,Applied,2A(2),26
Raffles Girls’ Primary School - Girls only,2021,Taken,2A(2),26
Raffles Girls’ Primary School - Girls only,2009,Vacancy,2B,67.0
Raffles Girls’ Primary School - Girls only,2009,Applied,2B,47.0
Raffles Girls’ Primary School - Girls only,2009,Taken,2B,47.0
Raffles Girls’ Primary School - Girls only,2010,Vacancy,2B,60.0
Raffles Girls’ Primary School - Girls only,2010,Applied,2B,62.0
Raffles Girls’ Primary School - Girls only,2010,Taken,2B,62.0
Raffles Girls’ Primary School - Girls only,2011,Vacancy,2B,42.0
Raffles Girls’ Primary School - Girls only,2011,Applied,2B,49.0
Raffles Girls’ Primary School - Girls only,2011,Taken,2B,41.0
Raffles Girls’ Primary School - Girls only,2012,Vacancy,2B,42.0
Raffles Girls’ Primary School - Girls only,2012,Applied,2B,42.0
Raffles Girls’ Primary School - Girls only,2012,Taken,2B,42.0
Raffles Girls’ Primary School - Girls only,2013,Vacancy,2B,42.0
Raffles Girls’ Primary School - Girls only,2013,Applied,2B,26.0
Raffles Girls’ Primary School - Girls only,2013,Taken,2B,26.0
Raffles Girls’ Primary School - Girls only,2014,Vacancy,2B,62.0
Raffles Girls’ Primary School - Girls only,2014,Applied,2B,21.0
Raffles Girls’ Primary School - Girls only,2014,Taken,2B,21.0
Raffles Girls’ Primary School - Girls only,2015,Vacancy,2B,52.0
Raffles Girls’ Primary School - Girls only,2015,Applied,2B,20.0
Raffles Girls’ Primary School - Girls only,2015,Taken,2B,14.0
Raffles Girls’ Primary School - Girls only,2016,Vacancy,2B,62.0
Raffles Girls’ Primary School - Girls only,2016,Applied,2B,22.0
Raffles Girls’ Primary School - Girls only,2016,Taken,2B,17.0
Raffles Girls’ Primary School - Girls only,2017,Vacancy,2B,67.0
Raffles Girls’ Primary School - Girls only,2017,Applied,2B,25.0
Raffles Girls’ Primary School - Girls only,2017,Taken,2B,23.0
Raffles Girls’ Primary School - Girls only,2018,Vacancy,2B,70.0
Raffles Girls’ Primary School - Girls only,2018,Applied,2B,26.0
Raffles Girls’ Primary School - Girls only,2018,Taken,2B,26.0
Raffles Girls’ Primary School - Girls only,2019,Vacancy,2B,74.0
Raffles Girls’ Primary School - Girls only,2019,Applied,2B,24.0
Raffles Girls’ Primary School - Girls only,2019,Taken,2B,24.0
Raffles Girls’ Primary School - Girls only,2020,Vacancy,2B,52.0
Raffles Girls’ Primary School - Girls only,2020,Applied,2B,28.0
Raffles Girls’ Primary School - Girls only,2020,Taken,2B,28.0
Raffles Girls’ Primary School - Girls only,2021,Vacancy,2B,68.0
Raffles Girls’ Primary School - Girls only,2021,Applied,2B,39.0
Raffles Girls’ Primary School - Girls only,2021,Taken,2B,39.0
Raffles Girls’ Primary School - Girls only,2009,Vacancy,2C,86
Raffles Girls’ Primary School - Girls only,2009,Applied,2C,140
Raffles Girls’ Primary School - Girls only,2009,Taken,2C,86
Raffles Girls’ Primary School - Girls only,2010,Vacancy,2C,61
Raffles Girls’ Primary School - Girls only,2010,Applied,2C,76
Raffles Girls’ Primary School - Girls only,2010,Taken,2C,61
Raffles Girls’ Primary School - Girls only,2011,Vacancy,2C,42
Raffles Girls’ Primary School - Girls only,2011,Applied,2C,46
Raffles Girls’ Primary School - Girls only,2011,Taken,2C,42
Raffles Girls’ Primary School - Girls only,2012,Vacancy,2C,42
Raffles Girls’ Primary School - Girls only,2012,Applied,2C,46
Raffles Girls’ Primary School - Girls only,2012,Taken,2C,42
Raffles Girls’ Primary School - Girls only,2013,Vacancy,2C,58
Raffles Girls’ Primary School - Girls only,2013,Applied,2C,69
Raffles Girls’ Primary School - Girls only,2013,Taken,2C,58
Raffles Girls’ Primary School - Girls only,2014,Vacancy,2C,102
Raffles Girls’ Primary School - Girls only,2014,Applied,2C,143
Raffles Girls’ Primary School - Girls only,2014,Taken,2C,102
Raffles Girls’ Primary School - Girls only,2015,Vacancy,2C,90
Raffles Girls’ Primary School - Girls only,2015,Applied,2C,114
Raffles Girls’ Primary School - Girls only,2015,Taken,2C,90
Raffles Girls’ Primary School - Girls only,2016,Vacancy,2C,107
Raffles Girls’ Primary School - Girls only,2016,Applied,2C,135
Raffles Girls’ Primary School - Girls only,2016,Taken,2C,107
