name,link
Admiralty Primary School,https://sgschooling.com/school/admiralty
Ahmad Ibrahim Primary School,https://sgschooling.com/school/ahmad-ibrahim
Ai Tong School,https://sgschooling.com/school/ai-tong
Alexandra Primary School,https://sgschooling.com/school/alexandra
Anchor Green Primary School,https://sgschooling.com/school/anchor-green
Anderson Primary School,https://sgschooling.com/school/anderson
Ang Mo Kio Primary School,https://sgschooling.com/school/ang-mo-kio
"Anglo-Chinese School (Junior) - Boys only, Affiliated",https://sgschooling.com/school/anglo-chinese-junior
"Anglo-Chinese School (Primary) - Boys only, Affiliated",https://sgschooling.com/school/anglo-chinese-primary
Angsana Primary School,https://sgschooling.com/school/angsana
Beacon Primary School,https://sgschooling.com/school/beacon
Bedok Green Primary School,https://sgschooling.com/school/bedok-green
Bendemeer Primary School,https://sgschooling.com/school/bendemeer
Blangah Rise Primary School,https://sgschooling.com/school/blangah-rise
Boon Lay Garden Primary School,https://sgschooling.com/school/boon-lay-garden
Bukit Panjang Primary School,https://sgschooling.com/school/bukit-panjang
Bukit Timah Primary School,https://sgschooling.com/school/bukit-timah
Bukit View Primary School,https://sgschooling.com/school/bukit-view
Canberra Primary School,https://sgschooling.com/school/canberra
Canossa Catholic Primary School - Affiliated,https://sgschooling.com/school/canossa-catholic
Cantonment Primary School,https://sgschooling.com/school/cantonment
Casuarina Primary School,https://sgschooling.com/school/casuarina
"Catholic High School - Boys only, Affiliated",https://sgschooling.com/school/catholic-high
Cedar Primary School,https://sgschooling.com/school/cedar
Changkat Primary School,https://sgschooling.com/school/changkat
"CHIJ (Katong) Primary - Girls only, Affiliated",https://sgschooling.com/school/chij-katong
"CHIJ (Kellock) - Girls only, Affiliated",https://sgschooling.com/school/chij-kellock
"CHIJ Our Lady of Good Counsel - Girls only, Affiliated",https://sgschooling.com/school/chij-our-lady-of-good-counsel
"CHIJ Our Lady Of The Nativity - Girls only, Affiliated",https://sgschooling.com/school/chij-our-lady-of-the-nativity
"CHIJ Our Lady Queen of Peace - Girls only, Affiliated",https://sgschooling.com/school/chij-our-lady-queen-of-peace
"CHIJ Primary (Toa Payoh) - Girls only, Affiliated",https://sgschooling.com/school/chij-toa-payoh
"CHIJ St. Nicholas Girls’ School - Girls only, Affiliated",https://sgschooling.com/school/chij-st-nicholas-girls
Chongfu School,https://sgschooling.com/school/chongfu
Chongzheng Primary School,https://sgschooling.com/school/chongzheng
Chua Chu Kang Primary School,https://sgschooling.com/school/chua-chu-kang
Clementi Primary School,https://sgschooling.com/school/clementi
Compassvale Primary School,https://sgschooling.com/school/compassvale
Concord Primary School,https://sgschooling.com/school/concord
Corporation Primary School,https://sgschooling.com/school/corporation
Damai Primary School,https://sgschooling.com/school/damai
Dazhong Primary School,https://sgschooling.com/school/dazhong
De La Salle School - Affiliated,https://sgschooling.com/school/de-la-salle
East Spring Primary School,https://sgschooling.com/school/east-spring
Edgefield Primary School,https://sgschooling.com/school/edgefield
Elias Park Primary School,https://sgschooling.com/school/elias-park
Endeavour Primary School,https://sgschooling.com/school/endeavour
Eunos Primary School,https://sgschooling.com/school/eunos
Evergreen Primary School,https://sgschooling.com/school/evergreen
Fairfield Methodist School (Primary) - Affiliated,https://sgschooling.com/school/fairfield-methodist
Farrer Park Primary School,https://sgschooling.com/school/farrer-park
Fengshan Primary School,https://sgschooling.com/school/fengshan
Fern Green Primary School,https://sgschooling.com/school/fern-green
Fernvale Primary School,https://sgschooling.com/school/fernvale
First Toa Payoh Primary School,https://sgschooling.com/school/first-toa-payoh
Frontier Primary School,https://sgschooling.com/school/frontier
Fuchun Primary School,https://sgschooling.com/school/fuchun
Fuhua Primary School,https://sgschooling.com/school/fuhua
Gan Eng Seng Primary School,https://sgschooling.com/school/gan-eng-seng
Geylang Methodist School (Primary) - Affiliated,https://sgschooling.com/school/geylang-methodist
Gongshang Primary School,https://sgschooling.com/school/gongshang
Greendale Primary School,https://sgschooling.com/school/greendale
Greenridge Primary School,https://sgschooling.com/school/greenridge
Greenwood Primary School,https://sgschooling.com/school/greenwood
Guangyang Primary School,https://sgschooling.com/school/guangyang
Haig Girls’ School - Girls only,https://sgschooling.com/school/haig-girls
Henry Park Primary School,https://sgschooling.com/school/henry-park
Holy Innocents’ Primary School - Affiliated,https://sgschooling.com/school/holy-innocents
Hong Wen School,https://sgschooling.com/school/hong-wen
Horizon Primary School,https://sgschooling.com/school/horizon
Hougang Primary School,https://sgschooling.com/school/hougang
Huamin Primary School,https://sgschooling.com/school/huamin
Innova Primary School,https://sgschooling.com/school/innova
Jiemin Primary School,https://sgschooling.com/school/jiemin
Jing Shan Primary School,https://sgschooling.com/school/jing-shan
Junyuan Primary School,https://sgschooling.com/school/junyuan
Jurong Primary School,https://sgschooling.com/school/jurong
Jurong West Primary School,https://sgschooling.com/school/jurong-west
Juying Primary School,https://sgschooling.com/school/juying
Keming Primary School,https://sgschooling.com/school/keming
Kheng Cheng School,https://sgschooling.com/school/kheng-cheng
Kong Hwa School,https://sgschooling.com/school/kong-hwa
Kranji Primary School,https://sgschooling.com/school/kranji
Kuo Chuan Presbyterian Primary School - Affiliated,https://sgschooling.com/school/kuo-chuan-presbyterian
Lakeside Primary School,https://sgschooling.com/school/lakeside
Lianhua Primary School,https://sgschooling.com/school/lianhua
Maha Bodhi School - Affiliated,https://sgschooling.com/school/maha-bodhi
"Maris Stella High School - Boys only, Affiliated",https://sgschooling.com/school/maris-stella-high
Marsiling Primary School,https://sgschooling.com/school/marsiling
Marymount Convent School - Girls only,https://sgschooling.com/school/marymount-convent
Mayflower Primary School,https://sgschooling.com/school/mayflower
Mee Toh School - Affiliated,https://sgschooling.com/school/mee-toh
Meridian Primary School,https://sgschooling.com/school/meridian
"Methodist Girls’ School (Primary) - Girls only, Affiliated",https://sgschooling.com/school/methodist-girls
"Montfort Junior School - Boys only, Affiliated",https://sgschooling.com/school/montfort-junior
Nan Chiau Primary School,https://sgschooling.com/school/nan-chiau
Nan Hua Primary School,https://sgschooling.com/school/nan-hua
Nanyang Primary School - Affiliated,https://sgschooling.com/school/nanyang
Naval Base Primary School,https://sgschooling.com/school/naval-base
New Town Primary School,https://sgschooling.com/school/new-town
Ngee Ann Primary School - Affiliated,https://sgschooling.com/school/ngee-ann
North Spring Primary School,https://sgschooling.com/school/north-spring
North View Primary School,https://sgschooling.com/school/north-view
North Vista Primary School,https://sgschooling.com/school/north-vista
Northland Primary School,https://sgschooling.com/school/northland
Northoaks Primary School,https://sgschooling.com/school/northoaks
Oasis Primary School,https://sgschooling.com/school/oasis
Opera Estate Primary School,https://sgschooling.com/school/opera-estate
Palm View Primary School,https://sgschooling.com/school/palm-view
Park View Primary School,https://sgschooling.com/school/park-view
Pasir Ris Primary School,https://sgschooling.com/school/pasir-ris
"Paya Lebar Methodist Girls’ School (Primary) - Girls only, Affiliated",https://sgschooling.com/school/paya-lebar-methodist-girls
Pei Chun Public School,https://sgschooling.com/school/pei-chun-public
Pei Hwa Presbyterian Primary School,https://sgschooling.com/school/pei-hwa-presbyterian
Pei Tong Primary School,https://sgschooling.com/school/pei-tong
Peiying Primary School,https://sgschooling.com/school/peiying
Pioneer Primary School,https://sgschooling.com/school/pioneer
Poi Ching School,https://sgschooling.com/school/poi-ching
Princess Elizabeth Primary School,https://sgschooling.com/school/princess-elizabeth
Punggol Cove Primary School,https://sgschooling.com/school/punggol-cove
Punggol Green Primary School,https://sgschooling.com/school/punggol-green
Punggol Primary School,https://sgschooling.com/school/punggol
Punggol View Primary School,https://sgschooling.com/school/punggol-view
Qifa Primary School,https://sgschooling.com/school/qifa
Qihua Primary School,https://sgschooling.com/school/qihua
Queenstown Primary School,https://sgschooling.com/school/queenstown
Radin Mas Primary School,https://sgschooling.com/school/radin-mas
Raffles Girls’ Primary School - Girls only,https://sgschooling.com/school/raffles-girls
Red Swastika School,https://sgschooling.com/school/red-swastika
River Valley Primary School,https://sgschooling.com/school/river-valley
Riverside Primary School,https://sgschooling.com/school/riverside
Rivervale Primary School,https://sgschooling.com/school/rivervale
Rosyth School,https://sgschooling.com/school/rosyth
Rulang Primary School,https://sgschooling.com/school/rulang
Sembawang Primary School,https://sgschooling.com/school/sembawang
Seng Kang Primary School,https://sgschooling.com/school/seng-kang
Sengkang Green Primary School,https://sgschooling.com/school/sengkang-green
Shuqun Primary School,https://sgschooling.com/school/shuqun
Si Ling Primary School,https://sgschooling.com/school/si-ling
"Singapore Chinese Girls’ Primary School - Girls only, Affiliated",https://sgschooling.com/school/singapore-chinese-girls
South View Primary School,https://sgschooling.com/school/south-view
Springdale Primary School,https://sgschooling.com/school/springdale
"St. Andrew’s Junior School - Boys only, Affiliated",https://sgschooling.com/school/st-andrew-junior
"St. Anthony’s Canossian Primary School - Girls only, Affiliated",https://sgschooling.com/school/st-anthony-canossian
St. Anthony’s Primary School - Affiliated,https://sgschooling.com/school/st-anthony
"St. Gabriel’s Primary School - Boys only, Affiliated",https://sgschooling.com/school/st-gabriel
St. Hilda’s Primary School - Affiliated,https://sgschooling.com/school/st-hilda
"St. Joseph’s Institution Junior - Boys only, Affiliated",https://sgschooling.com/school/st-joseph-institution-junior
"St. Margaret’s Primary School - Girls only, Affiliated",https://sgschooling.com/school/st-margaret
"St. Stephen’s School - Boys only, Affiliated",https://sgschooling.com/school/st-stephen
Stamford Primary School,https://sgschooling.com/school/stamford
Tampines North Primary School,https://sgschooling.com/school/tampines-north
Tampines Primary School,https://sgschooling.com/school/tampines
Tanjong Katong Primary School,https://sgschooling.com/school/tanjong-katong
Tao Nan School,https://sgschooling.com/school/tao-nan
Teck Ghee Primary School,https://sgschooling.com/school/teck-ghee
Teck Whye Primary School,https://sgschooling.com/school/teck-whye
Telok Kurau Primary School,https://sgschooling.com/school/telok-kurau
Temasek Primary School,https://sgschooling.com/school/temasek
Townsville Primary School,https://sgschooling.com/school/townsville
Unity Primary School,https://sgschooling.com/school/unity
Waterway Primary School,https://sgschooling.com/school/waterway
Wellington Primary School,https://sgschooling.com/school/wellington
West Grove Primary School,https://sgschooling.com/school/west-grove
West Spring Primary School,https://sgschooling.com/school/west-spring
West View Primary School,https://sgschooling.com/school/west-view
Westwood Primary School,https://sgschooling.com/school/westwood
White Sands Primary School,https://sgschooling.com/school/white-sands
Woodgrove Primary School,https://sgschooling.com/school/woodgrove
Woodlands Primary School,https://sgschooling.com/school/woodlands
Woodlands Ring Primary School,https://sgschooling.com/school/woodlands-ring
Xinghua Primary School,https://sgschooling.com/school/xinghua
Xingnan Primary School,https://sgschooling.com/school/xingnan
Xinmin Primary School,https://sgschooling.com/school/xinmin
Xishan Primary School,https://sgschooling.com/school/xishan
Yangzheng Primary School,https://sgschooling.com/school/yangzheng
Yew Tee Primary School,https://sgschooling.com/school/yew-tee
Yio Chu Kang Primary School,https://sgschooling.com/school/yio-chu-kang
Yishun Primary School,https://sgschooling.com/school/yishun
Yu Neng Primary School,https://sgschooling.com/school/yu-neng
Yuhua Primary School,https://sgschooling.com/school/yuhua
Yumin Primary School,https://sgschooling.com/school/yumin
Zhangde Primary School,https://sgschooling.com/school/zhangde
Zhenghua Primary School,https://sgschooling.com/school/zhenghua
Zhonghua Primary School,https://sgschooling.com/school/zhonghua
Valour Primary School,https://sgschooling.com/school/valour
Northshore Primary School,https://sgschooling.com/school/northshore
Affiliated and single-gender schools,https://sgschooling.com/affiliations
SAP schools,https://sgschooling.com/sap
