SchoolName,Type,MotherTongue
Raffles Girls’ Primary School - Girls only,Regular,Chinese
Raffles Girls’ Primary School - Girls only,Higher,Chinese
Raffles Girls’ Primary School - Girls only,Regular,Malay
Raffles Girls’ Primary School - Girls only,Higher,Malay
Raffles Girls’ Primary School - Girls only,Regular,Tamil
Raffles Girls’ Primary School - Girls only,Higher,Tamil
Gan Eng Seng Primary School,Regular,Chinese
Gan Eng Seng Primary School,Higher,Chinese
Gan Eng Seng Primary School,Regular,Malay
Gan Eng Seng Primary School,Higher,Malay
Gan Eng Seng Primary School,Regular,Tamil
Gan Eng Seng Primary School,Higher,Tamil
Tampines North Primary School,Regular,Chinese
Tampines North Primary School,Higher,Chinese
Tampines North Primary School,Regular,Malay
Tampines North Primary School,Higher,Malay
Tampines North Primary School,Regular,Tamil
Tampines North Primary School,Higher,Tamil
Wellington Primary School,Regular,Chinese
Wellington Primary School,Higher,Chinese
Wellington Primary School,Regular,Malay
Wellington Primary School,Higher,Malay
Wellington Primary School,Regular,Tamil
Wellington Primary School,Higher,Tamil
Yio Chu Kang Primary School,Regular,Chinese
Yio Chu Kang Primary School,Higher,Chinese
Yio Chu Kang Primary School,Regular,Malay
Yio Chu Kang Primary School,Higher,Malay
Yio Chu Kang Primary School,Regular,Tamil
Yio Chu Kang Primary School,Higher,Tamil
Elias Park Primary School,Regular,Chinese
Elias Park Primary School,Higher,Chinese
Elias Park Primary School,Regular,Malay
Elias Park Primary School,Higher,Malay
Elias Park Primary School,Regular,Tamil
Rulang Primary School,Regular,Chinese
Rulang Primary School,Higher,Chinese
Rulang Primary School,Regular,Malay
Rulang Primary School,Higher,Malay
Rulang Primary School,Regular,Tamil
Rulang Primary School,Higher,Tamil
Waterway Primary School,Regular,Chinese
Waterway Primary School,Higher,Chinese
Waterway Primary School,Regular,Malay
Waterway Primary School,Higher,Malay
Waterway Primary School,Regular,Tamil
Bukit Panjang Primary School,Regular,Chinese
Bukit Panjang Primary School,Higher,Chinese
Bukit Panjang Primary School,Regular,Malay
Bukit Panjang Primary School,Higher,Malay
Bukit Panjang Primary School,Regular,Tamil
Bukit Panjang Primary School,Higher,Tamil
"St. Stephen’s School - Boys only, Affiliated",Regular,Chinese
"St. Stephen’s School - Boys only, Affiliated",Higher,Chinese
"St. Stephen’s School - Boys only, Affiliated",Regular,Malay
"St. Stephen’s School - Boys only, Affiliated",Higher,Malay
"St. Stephen’s School - Boys only, Affiliated",Regular,Tamil
"St. Stephen’s School - Boys only, Affiliated",Higher,Tamil
Northoaks Primary School,Regular,Chinese
Northoaks Primary School,Regular,Malay
Northoaks Primary School,Regular,Tamil
Gongshang Primary School,Regular,Chinese
Gongshang Primary School,Higher,Chinese
Gongshang Primary School,Regular,Malay
Gongshang Primary School,Higher,Malay
Gongshang Primary School,Regular,Tamil
West View Primary School,Regular,Chinese
West View Primary School,Higher,Chinese
West View Primary School,Regular,Malay
West View Primary School,Higher,Malay
West View Primary School,Regular,Tamil
West View Primary School,Higher,Tamil
Canossa Catholic Primary School - Affiliated,Regular,Chinese
Canossa Catholic Primary School - Affiliated,Higher,Chinese
Canossa Catholic Primary School - Affiliated,Regular,Malay
Canossa Catholic Primary School - Affiliated,Regular,Tamil
Canossa Catholic Primary School - Affiliated,Higher,Tamil
